gps_datetime,latitude,longitude,fix_quality,satellite_count
2025-07-13T03:53:43.279083+00:00,-33.067103116666665,151.58072906666666,1,50
2025-07-13T03:53:44.228919+00:00,-33.06710315,151.58072915,1,50
2025-07-13T03:53:45.291858+00:00,-33.06710315,151.58072921666667,1,50
2025-07-13T03:53:46.232165+00:00,-33.06710316666667,151.58072926666668,1,50
2025-07-13T03:53:47.271970+00:00,-33.06710316666667,151.58072931666666,1,49
2025-07-13T03:53:48.225119+00:00,-33.06710318333333,151.58072935,1,49
2025-07-13T03:53:49.284323+00:00,-33.06710316666667,151.58072936666667,1,49
2025-07-13T03:53:50.222840+00:00,-33.06710318333333,151.5807294,1,49
2025-07-13T03:53:51.282273+00:00,-33.06710315,151.58072943333335,1,50
2025-07-13T03:53:52.226687+00:00,-33.067103116666665,151.58072945,1,49
2025-07-13T03:53:53.270648+00:00,-33.06710306666667,151.58072946666667,1,50
2025-07-13T03:53:54.236008+00:00,-33.06710303333333,151.58072945,1,50
2025-07-13T03:53:55.273909+00:00,-33.067103016666664,151.58072943333335,1,49
2025-07-13T03:53:56.241286+00:00,-33.067103,151.58072945,1,50
2025-07-13T03:53:57.277311+00:00,-33.067102983333335,151.58072946666667,1,49
2025-07-13T03:53:58.229083+00:00,-33.067103,151.58072945,1,49
2025-07-13T03:53:59.280001+00:00,-33.067102983333335,151.58072946666667,1,49
2025-07-13T03:54:00.232078+00:00,-33.067103016666664,151.58072948333333,1,48
2025-07-13T03:54:01.294751+00:00,-33.067103016666664,151.5807295,1,49
2025-07-13T03:54:02.238550+00:00,-33.06710305,151.58072951666668,1,49
2025-07-13T03:54:03.292332+00:00,-33.06710303333333,151.58072953333334,1,49
2025-07-13T03:54:04.235048+00:00,-33.06710306666667,151.58072955,1,49
2025-07-13T03:54:05.286065+00:00,-33.067103083333336,151.58072955,1,50
2025-07-13T03:54:06.241345+00:00,-33.0671031,151.58072955,1,49
2025-07-13T03:54:07.303355+00:00,-33.06710303333333,151.58072953333334,1,49
2025-07-13T03:54:08.247551+00:00,-33.06710303333333,151.58072951666668,1,50
2025-07-13T03:54:09.284323+00:00,-33.067103016666664,151.58072951666668,1,50
2025-07-13T03:54:10.245088+00:00,-33.067103,151.5807295,1,50
2025-07-13T03:54:11.281916+00:00,-33.06710296666667,151.58072943333335,1,50
2025-07-13T03:54:12.241482+00:00,-33.067102883333334,151.58072931666666,1,50
2025-07-13T03:54:13.291977+00:00,-33.06710285,151.58072923333333,1,50
2025-07-13T03:54:14.235642+00:00,-33.067102766666665,151.58072918333335,1,50
2025-07-13T03:54:15.301688+00:00,-33.06710275,151.58072915,1,50
2025-07-13T03:54:16.232675+00:00,-33.06710268333333,151.58072908333332,1,50
2025-07-13T03:54:17.282752+00:00,-33.067102616666666,151.58072905,1,50
2025-07-13T03:54:18.226491+00:00,-33.06710253333333,151.58072903333334,1,50
2025-07-13T03:54:19.281154+00:00,-33.06710246666667,151.58072901666668,1,51
2025-07-13T03:54:20.223494+00:00,-33.067102483333336,151.58072905,1,51
2025-07-13T03:54:21.261921+00:00,-33.06710246666667,151.58072908333332,1,51
2025-07-13T03:54:22.206417+00:00,-33.067102383333335,151.58072908333332,1,51
2025-07-13T03:54:23.245753+00:00,-33.06710231666667,151.58072911666667,1,51
2025-07-13T03:54:24.217864+00:00,-33.06710225,151.58072913333334,1,51
2025-07-13T03:54:25.328707+00:00,-33.0671022,151.58072913333334,1,51
2025-07-13T03:54:26.273449+00:00,-33.067102166666665,151.5807291,1,51
2025-07-13T03:54:27.311732+00:00,-33.06710211666667,151.58072906666666,1,51
2025-07-13T03:54:28.274316+00:00,-33.067102133333336,151.58072908333332,1,51
2025-07-13T03:54:29.301270+00:00,-33.06710215,151.58072911666667,1,51
2025-07-13T03:54:30.258080+00:00,-33.067102166666665,151.58072916666666,1,51
2025-07-13T03:54:31.300050+00:00,-33.06710221666667,151.58072921666667,1,51
2025-07-13T03:54:32.242134+00:00,-33.06710223333334,151.5807293,1,51
2025-07-13T03:54:33.282599+00:00,-33.067102266666666,151.58072938333333,1,51
2025-07-13T03:54:34.225750+00:00,-33.06710231666667,151.58072943333335,1,51
2025-07-13T03:54:35.266572+00:00,-33.06710235,151.5807295,1,51
2025-07-13T03:54:36.219866+00:00,-33.0671024,151.58072956666666,1,51
2025-07-13T03:54:37.252078+00:00,-33.06710246666667,151.58072961666667,1,51
2025-07-13T03:54:38.200899+00:00,-33.06710253333333,151.58072963333333,1,51
2025-07-13T03:54:39.333085+00:00,-33.06710256666667,151.58072965,1,50
2025-07-13T03:54:40.278111+00:00,-33.0671026,151.58072965,1,50
2025-07-13T03:54:41.316469+00:00,-33.067102633333334,151.58072965,1,50
2025-07-13T03:54:42.273138+00:00,-33.06710268333333,151.58072966666666,1,50
2025-07-13T03:54:43.301737+00:00,-33.067102733333336,151.58072965,1,51
2025-07-13T03:54:44.247050+00:00,-33.06710278333333,151.58072963333333,1,50
2025-07-13T03:54:45.312102+00:00,-33.06710283333334,151.58072965,1,50
2025-07-13T03:54:46.243741+00:00,-33.0671029,151.58072971666667,1,51
2025-07-13T03:54:47.288387+00:00,-33.067103,151.58072975,1,51
2025-07-13T03:54:48.255812+00:00,-33.0671031,151.5807298,1,51
2025-07-13T03:54:49.287777+00:00,-33.06710315,151.58072988333333,1,51
2025-07-13T03:54:50.233661+00:00,-33.067103233333334,151.58072993333334,1,51
2025-07-13T03:54:51.277723+00:00,-33.0671033,151.58072995,1,51
2025-07-13T03:54:52.234401+00:00,-33.067103333333336,151.58072993333334,1,51
2025-07-13T03:54:53.280940+00:00,-33.067103333333336,151.58072993333334,1,51
2025-07-13T03:54:54.242453+00:00,-33.0671033,151.58072991666666,1,51
2025-07-13T03:54:55.282244+00:00,-33.06710328333333,151.58072988333333,1,51
2025-07-13T03:54:56.226743+00:00,-33.06710325,151.58072988333333,1,51
2025-07-13T03:54:57.281771+00:00,-33.067103233333334,151.58072986666667,1,51
2025-07-13T03:54:58.227886+00:00,-33.067103233333334,151.58072986666667,1,51
2025-07-13T03:54:59.277434+00:00,-33.067103233333334,151.58072985,1,51
2025-07-13T03:55:00.225122+00:00,-33.06710325,151.58072983333332,1,51
2025-07-13T03:55:01.271755+00:00,-33.067103233333334,151.5807298,1,51
2025-07-13T03:55:02.231580+00:00,-33.067103216666666,151.5807298,1,50
2025-07-13T03:55:03.288169+00:00,-33.067103216666666,151.58072981666666,1,51
2025-07-13T03:55:04.226389+00:00,-33.06710318333333,151.58072986666667,1,51
2025-07-13T03:55:05.283060+00:00,-33.06710316666667,151.58072993333334,1,50
2025-07-13T03:55:06.228570+00:00,-33.06710315,151.58072996666667,1,50
2025-07-13T03:55:07.286444+00:00,-33.06710315,151.58072996666667,1,50
2025-07-13T03:55:08.224053+00:00,-33.06710313333333,151.58072995,1,51
2025-07-13T03:55:09.257937+00:00,-33.067103116666665,151.58073,1,51
2025-07-13T03:55:10.205321+00:00,-33.067103083333336,151.58073003333334,1,51
2025-07-13T03:55:11.271350+00:00,-33.06710303333333,151.58073006666666,1,51
2025-07-13T03:55:12.192320+00:00,-33.067103,151.58073008333332,1,51
2025-07-13T03:55:13.342737+00:00,-33.06710296666667,151.5807301,1,51
2025-07-13T03:55:14.281753+00:00,-33.06710295,151.5807301,1,51
2025-07-13T03:55:15.338503+00:00,-33.0671029,151.58073005,1,51
2025-07-13T03:55:16.274348+00:00,-33.06710281666667,151.58072998333333,1,51
2025-07-13T03:55:17.314027+00:00,-33.06710275,151.58072993333334,1,51
2025-07-13T03:55:18.274318+00:00,-33.0671027,151.5807299,1,51
2025-07-13T03:55:19.310245+00:00,-33.06710266666666,151.5807299,1,51
2025-07-13T03:55:20.258053+00:00,-33.067102633333334,151.58072993333334,1,51
2025-07-13T03:55:21.291615+00:00,-33.067102633333334,151.58072996666667,1,51
2025-07-13T03:55:22.240965+00:00,-33.0671026,151.58073003333334,1,51
2025-07-13T03:55:23.297666+00:00,-33.06710258333333,151.5807301,1,51
2025-07-13T03:55:24.242007+00:00,-33.067102616666666,151.58073015,1,51
2025-07-13T03:55:25.289294+00:00,-33.067102633333334,151.58073018333334,1,51
2025-07-13T03:55:26.235689+00:00,-33.06710266666666,151.58073023333333,1,51
2025-07-13T03:55:27.279537+00:00,-33.06710266666666,151.5807303,1,51
2025-07-13T03:55:28.227033+00:00,-33.06710268333333,151.58073035,1,51
2025-07-13T03:55:29.283758+00:00,-33.06710271666667,151.5807304,1,51
